28,73
28,73
28,73
28,73
28,73
28,75
28,75
28,75
28,75
28,75
28,75
28,76
28,76
29,78
28,76
28,75
28,75
28,75
28,76
28,76
28,76
28,76
28,76
28,76
28,77
27,71
27,70
26,62
27,62
26,58
26,59
27,59
26,55
27,57
26,53
26,53
26,54
25,51
26,52
26,53
25,50
25,51
26,51
25,50
25,52
26,55
26,53
25,51
26,52
26,52
25,49
26,51
26,53
25,49
25,49
26,50
25,49
25,49
26,49
25,50
26,58
26,55
100, 100
28,67
28,66
27,66
27,60
27,63
27,56
28,75
28,75
28,75
28,75
28,76
28,76
29,78
28,76
28,75
28,75
28,75
28,76
28,76
28,76
28,76
28,76
28,76
28,77
27,71
27,70
26,62
27,62
26,58
26,59
27,59
26,55
27,57
26,53
26,53
26,54
25,51
26,52
26,53
25,50
25,51
26,51
25,50
25,52
26,55
26,53
25,51
26,52
26,52
25,49
26,51
26,53
25,49
25,49
26,50
25,49
25,49
26,49
25,50
26,58
26,55
100, 100
28,67
28,66
27,66
27,60
27,63
27,56
